Servidores,Clientes,MensagensPorCliente,AvgLatencyPerMsgAcrossRuns,MedianLatencyPerMsgAcrossRuns,MinLatencyPerMsgAcrossRuns,MaxLatencyPerMsgAcrossRuns,StdDevLatencyPerMsgAcrossRuns,TotalSucessos,TotalFalhas,NumRunsRemaining
6,10,10000,10.912755780000001,10.89089805,10.882216699999999,11.0504272,0.0518036768148067,1000000,0,10
6,20,1,11.05745,10.98375,10.568999999999999,11.986,0.4200048577761404,200,0,10
6,20,10,11.091425,10.947624999999999,10.814449999999999,11.96565,0.34542707804976797,2000,0,10
6,20,100,10.956221500000002,10.9550225,10.86316,11.121815,0.0795043458647949,20000,0,10
6,20,500,10.915701799999999,10.9092065,10.87032,10.993578,0.03822517354309844,100000,0,10
6,20,1000,10.9239391,10.903913249999999,10.88139,11.001419,0.043324666676796984,200000,0,10
6,20,10000,11.01306147,10.898139,10.891573249999999,11.9941896,0.3453269297315187,2000000,0,10
6,30,1,11.924433333333333,11.554333333333332,10.712333333333333,14.486666666666668,1.1723380569413788,300,0,10
6,30,10,11.09769,11.030166666666666,10.741900000000001,11.974333333333334,0.34564157023436,3000,0,10
6,30,100,10.967805666666667,10.969625,10.847956666666667,11.148453333333334,0.1038650236409066,30000,0,10
6,30,500,10.948075066666666,10.925789666666667,10.860864,11.126024666666666,0.08809547931126416,150000,0,10
6,30,1000,10.955169133333333,10.916690666666668,10.875985666666667,11.115862666666667,0.08815042946502938,300000,0,10
6,30,10000,10.943709909999999,10.89992265,10.888022933333334,11.206285533333334,0.10469884963463111,3000000,0,10
6,40,1,12.0096,11.7765,10.68125,14.97875,1.1454917502976614,400,0,10
6,40,10,11.523055,11.099287499999999,10.74175,15.54375,1.4351209648880157,4000,0,10
6,40,100,11.01703275,10.93435,10.8771425,11.367495000000002,0.18777450160605647,40000,0,10
6,40,500,11.0041872,10.948914,10.8751345,11.247152499999999,0.13497544518853902,200000,0,10
6,40,1000,10.978926275000001,10.913337875,10.858817,11.3064155,0.16779210389415936,400000,0,10
6,40,10000,10.976895809999998,10.9063012,10.88711905,11.299517625,0.16115324982526047,4000000,0,10
6,50,1,13.02112,12.2734,10.9968,18.2038,2.308605255127,500,0,10
6,50,10,11.281814,11.33704,10.759079999999999,11.915280000000001,0.3225092059392349,5000,0,10
6,50,100,11.02757,10.921402,10.792274,11.390866,0.21729560324845837,50000,0,10
6,50,500,11.03523432,10.911003,10.856435600000001,11.842735600000001,0.3134647205854691,250000,0,10
6,50,1000,10.99112474,10.9105931,10.848838,11.3180242,0.1783822025617289,500000,0,10
6,50,10000,10.997172064,10.90026521,10.88392236,11.5037584,0.21847027207328276,5000000,0,10
6,60,1,13.658166666666668,13.235,12.196,17.228333333333335,1.549827523259234,600,0,10
6,60,10,11.34377,11.209041666666666,10.802366666666666,12.160333333333334,0.45561688257938615,6000,0,10
6,60,100,11.008662833333334,10.9473475,10.718835,11.382828333333334,0.24187812337862782,60000,0,10
6,60,500,11.0881182,10.878498,10.838673333333334,12.568151333333333,0.541760106937032,300000,0,10
6,60,1000,10.989416083333333,10.892504833333334,10.879541666666666,11.381644666666668,0.18835679344998651,600000,0,10
6,60,10000,10.975382455,10.88639085,10.879754316666666,11.3500728,0.1863477695193958,6000000,0,10
6,70,1,15.321457142857142,14.747785714285715,12.126285714285714,20.11342857142857,2.503038902039822,700,0,10
6,70,10,11.90259,12.059285714285714,10.84992857142857,12.670171428571429,0.5869607368284795,7000,0,10
6,70,100,11.023692,10.97033,10.80191,11.342697142857144,0.18128818871840027,70000,0,10
6,70,500,10.967283514285715,10.869534857142858,10.779163714285714,11.280368,0.20916558455165396,350000,0,10
6,70,1000,11.189241985714286,10.8617855,10.824846571428571,13.108749142857143,0.7156614858149641,700000,0,10
6,70,10000,10.965452845714285,10.86794385,10.837262357142858,11.311399071428571,0.18203277546848118,7000000,0,10
6,80,1,19.0420875,17.954437499999997,13.744874999999999,30.997750000000003,5.014077793396227,800,0,10
6,80,10,12.798791249999999,12.100831249999999,11.3615625,18.8758125,2.1917405414993203,8000,0,10
6,80,100,11.12324975,11.121356875,10.8216,11.554975,0.2211476356095506,80000,0,10
6,80,500,11.0261545,11.013946375,10.84457125,11.24415925,0.13240233055791245,400000,0,10
6,80,1000,11.318173937500001,10.940498250000001,10.86362875,14.612975375,1.1622078203528996,800000,0,10
6,80,10000,11.054412153749999,10.89524409375,10.85505355,12.248654412499999,0.42931908950369124,8000000,0,10
6,90,1,19.17608888888889,18.685722222222225,15.556,24.486333333333334,2.749128809155338,900,0,10
6,90,10,12.475887777777778,12.271988888888888,11.48408888888889,13.459,0.7152799939354374,9000,0,10
6,90,100,11.356369777777777,11.282586111111112,10.981766666666665,12.152383333333333,0.3466424856154976,90000,0,10
6,90,500,11.20286771111111,11.200307333333333,11.077578888888889,11.383572,0.10290283446743671,450000,0,10
6,90,1000,11.41494371111111,11.181797222222222,10.994168222222223,12.995195777777779,0.6018077153933643,900000,0,10
6,90,10000,11.369880203333334,11.169625627777776,11.054000877777776,12.997680633333333,0.5838815184662305,9000000,0,10
6,100,1,20.67678,20.54855,15.4466,27.540599999999998,4.446358303101039,1000,0,10
6,100,10,12.973361,12.897465,11.62266,14.75741,0.9477409808879458,10000,0,10
6,100,100,11.8832904,11.878499000000001,11.164727000000001,12.328099,0.3380708510541661,100000,0,10
6,100,500,11.6271426,11.5531705,11.3448268,12.0110394,0.19359730310428722,500000,0,10
6,100,1000,11.65812911,11.557682,11.3011371,12.777113700000001,0.4085844138496467,1000000,0,10
6,100,10000,11.745446468,11.51276795,11.37023402,13.27925686,0.5807501318899349,10000000,0,10
8,10,1,11.1086,10.926,10.575,12.436,0.5263102591522312,100,0,10
8,10,10,10.94545,10.93645,10.6824,11.218399999999999,0.17630897909950924,1000,0,10
8,10,100,10.929685000000001,10.92248,10.86378,11.05098,0.0560458517148631,10000,0,10
8,10,500,10.9482588,10.914401,10.873566,11.270769999999999,0.11505238720281503,50000,0,10
8,10,1000,10.9381789,10.920743,10.845073,11.163689,0.08738187465938735,100000,0,10
8,10,10000,10.90710219,10.9012712,10.8860673,10.9444777,0.01663980918022599,1000000,0,10
8,20,1,11.276,11.373249999999999,10.552,11.857,0.4815087399691378,200,0,10
8,20,10,11.117035,11.153125,10.8075,11.2029,0.1145987033327848,2000,0,10
8,20,100,10.9078135,10.89797,10.808145,11.044725,0.06573217384246124,20000,0,10
8,20,500,10.968008000000001,10.915178,10.858406,11.420417,0.16520007737958858,100000,0,10
8,20,1000,11.0473193,10.899850749999999,10.878592999999999,12.3580685,0.4609701124230771,200000,0,10
8,20,10000,10.960889485,10.893120575000001,10.88457345,11.43736095,0.1722900901732408,2000000,0,10
8,30,1,11.6541,10.970500000000001,10.660666666666666,14.952666666666666,1.3399908885815162,300,0,10
8,30,10,10.960636666666668,10.909316666666667,10.649,11.598266666666667,0.2901394677192252,3000,0,10
8,30,100,11.000650333333333,10.93959,10.840300000000001,11.548436666666666,0.2172033190891271,30000,0,10
8,30,500,10.9643156,10.885445666666666,10.829868666666666,11.434056666666667,0.19128668856468925,150000,0,10
8,30,1000,11.082222833333335,10.901236833333334,10.866092333333334,12.476895333333333,0.49989100700858297,300000,0,10
8,30,10000,11.072520426666667,10.90394775,10.892679399999999,12.3164125,0.44594899300583923,3000000,0,10
8,40,1,14.505599999999998,12.68825,10.8625,22.5795,3.7301334653661447,400,0,10
8,40,10,11.2432825,11.241624999999999,10.870574999999999,11.656649999999999,0.2862520875833631,4000,0,10
8,40,100,11.015005,10.9850475,10.83262,11.3074125,0.16075612465868216,40000,0,10
8,40,500,11.006099299999999,10.9330745,10.8573535,11.3754355,0.17885332762617356,200000,0,10
8,40,1000,11.1726476,10.898235125,10.865855999999999,13.30444,0.7585023793165757,400000,0,10
8,40,10000,11.054406310000001,10.895566087499999,10.883330225,12.09435655,0.3867067219661659,4000000,0,10
8,50,1,14.069460000000001,13.508099999999999,11.335799999999999,21.4446,2.958784125729126,500,0,10
8,50,10,11.722362,11.25335,10.75314,15.12676,1.30078325127423,5000,0,10
